business_id,name
NC8Eo3rPaBMd3Ja4FdLnLg,Papa Murphy's
eKJvJs8jxVycATMqrCtx6A,Market Street Pizza
3ZKP5gCoUqao6zCIrLfdPw,Bojangles Restaurant
a5zjODIOCqRAH5mG4sPVYQ,Cherry
CiYamRWo4h61K81MojTeFA,Ocean Palace
FgHAx1fSeKYPIDXBKeF8xA,Hardee's of Fort Mill
pfqHGEB1lyXw6bWwt1ouoQ,Roasting Oven & Grill
_4KoAOFWFBu7xCoKtZfv6A,McAlister's Deli
waI_R35_ZADACS9HaNnpHA,Ladles
oEPSDcn6OUjMwtEjoqLaAA,Southern Salads & Sandwich Company
XwPDiSASKZLpMgdO5tTyEA,Los aztecas
VGXocHCxlwji_GunJzwopA,Bojangles' Famous Chicken 'n Biscuits
qsxS95-LT2YIoUZv5coMPw,Subway
3MEcN5aFLMSOaH4PuVVomA,Subway
ovSAda1estGzhef4ZHO7RA,Subway
9Cx6XeFHPsdAZ4OxZ6yn8Q,Jumpin' Java
Ua4y230Lf9a0kRr2qWeXig,Jersey Mike's Subs
p_riQnZZj-xWQ3xn4nNkMw,Subway
E03V5cQculmCErWPr8fKBg,Sub Station II
vUelO4_KmsSjAxA_eKGdPQ,Jimmy John's
PbTXqq-283ua5BJmHYf3gg,Zaxby's Chicken Fingers & Buffalo Wings
u5wmbtWjMyaiJpAbP2xoEw,Fish Market
7EH21AeGaOnp8dtRpkAnIw,Long John Silver's
tTEtAzGbydufWtgOqCMquA,The Flipside Cafe
VjLmatrIIRiOdOZWR12c-w,Towne Tavern
2WQA66suU2rsHm4PRjt1_Q,Twin Rivers
aC6uSPaLuxdO0hYIRtanIw,T-Bones On the Lake
BpEEAmWJSl-XHBeVQt2ybg,Hanako
rANNcpPvv9EezHF-6kYCMg,Tapas 51
Jp7DWno_5zAYtrpEkc0ylw,Eat Well
